id,text,speak,group,note
p0001,1 nhân 1 bằng bao nhiêu?,một nhân một bằng bao nhiêu?,question,from_uploaded_html_embedded_map
p0002,Gợi ý nhé. Kết quả là 1. Bé tìm số rồi ấn vào nhé.,Gợi ý nhé. Kết quả là một. Bé tìm số rồi ấn vào nhé.,hint,from_uploaded_html_embedded_map
p0003,Chưa đúng. 1 nhân 1 bằng 1.,Chưa đúng. một nhân một bằng một.,wrong,from_uploaded_html_embedded_map
p0004,1 nhân 2 bằng bao nhiêu?,một nhân hai bằng bao nhiêu?,question,from_uploaded_html_embedded_map
p0005,Gợi ý nhé. Kết quả là 2. Bé tìm số rồi ấn vào nhé.,Gợi ý nhé. Kết quả là hai. Bé tìm số rồi ấn vào nhé.,hint,from_uploaded_html_embedded_map
p0006,Chưa đúng. 1 nhân 2 bằng 2.,Chưa đúng. một nhân hai bằng hai.,wrong,from_uploaded_html_embedded_map
p0007,1 nhân 3 bằng bao nhiêu?,một nhân ba bằng bao nhiêu?,question,from_uploaded_html_embedded_map
p0008,Gợi ý nhé. Kết quả là 3. Bé tìm số rồi ấn vào nhé.,Gợi ý nhé. Kết quả là ba. Bé tìm số rồi ấn vào nhé.,hint,from_uploaded_html_embedded_map
p0009,Chưa đúng. 1 nhân 3 bằng 3.,Chưa đúng. một nhân ba bằng ba.,wrong,from_uploaded_html_embedded_map
p0010,1 nhân 4 bằng bao nhiêu?,một nhân bốn bằng bao nhiêu?,question,from_uploaded_html_embedded_map
p0011,Gợi ý nhé. Kết quả là 4. Bé tìm số rồi ấn vào nhé.,Gợi ý nhé. Kết quả là bốn. Bé tìm số rồi ấn vào nhé.,hint,from_uploaded_html_embedded_map
p0012,Chưa đúng. 1 nhân 4 bằng 4.,Chưa đúng. một nhân bốn bằng bốn.,wrong,from_uploaded_html_embedded_map
p0013,1 nhân 5 bằng bao nhiêu?,một nhân năm bằng bao nhiêu?,question,from_uploaded_html_embedded_map
p0014,Gợi ý nhé. Kết quả là 5. Bé tìm số rồi ấn vào nhé.,Gợi ý nhé. Kết quả là năm. Bé tìm số rồi ấn vào nhé.,hint,from_uploaded_html_embedded_map
p0015,Chưa đúng. 1 nhân 5 bằng 5.,Chưa đúng. một nhân năm bằng năm.,wrong,from_uploaded_html_embedded_map
p0016,1 nhân 6 bằng bao nhiêu?,một nhân sáu bằng bao nhiêu?,question,from_uploaded_html_embedded_map
p0017,Gợi ý nhé. Kết quả là 6. Bé tìm số rồi ấn vào nhé.,Gợi ý nhé. Kết quả là sáu. Bé tìm số rồi ấn vào nhé.,hint,from_uploaded_html_embedded_map
p0018,Chưa đúng. 1 nhân 6 bằng 6.,Chưa đúng. một nhân sáu bằng sáu.,wrong,from_uploaded_html_embedded_map
p0019,1 nhân 7 bằng bao nhiêu?,một nhân bảy bằng bao nhiêu?,question,from_uploaded_html_embedded_map
p0020,Gợi ý nhé. Kết quả là 7. Bé tìm số rồi ấn vào nhé.,Gợi ý nhé. Kết quả là bảy. Bé tìm số rồi ấn vào nhé.,hint,from_uploaded_html_embedded_map
p0021,Chưa đúng. 1 nhân 7 bằng 7.,Chưa đúng. một nhân bảy bằng bảy.,wrong,from_uploaded_html_embedded_map
p0022,1 nhân 8 bằng bao nhiêu?,một nhân tám bằng bao nhiêu?,question,from_uploaded_html_embedded_map
p0023,Gợi ý nhé. Kết quả là 8. Bé tìm số rồi ấn vào nhé.,Gợi ý nhé. Kết quả là tám. Bé tìm số rồi ấn vào nhé.,hint,from_uploaded_html_embedded_map
p0024,Chưa đúng. 1 nhân 8 bằng 8.,Chưa đúng. một nhân tám bằng tám.,wrong,from_uploaded_html_embedded_map
p0025,1 nhân 9 bằng bao nhiêu?,một nhân chín bằng bao nhiêu?,question,from_uploaded_html_embedded_map
p0026,Gợi ý nhé. Kết quả là 9. Bé tìm số rồi ấn vào nhé.,Gợi ý nhé. Kết quả là chín. Bé tìm số rồi ấn vào nhé.,hint,from_uploaded_html_embedded_map
p0027,Chưa đúng. 1 nhân 9 bằng 9.,Chưa đúng. một nhân chín bằng chín.,wrong,from_uploaded_html_embedded_map
p0028,1 nhân 10 bằng bao nhiêu?,một nhân mười bằng bao nhiêu?,question,from_uploaded_html_embedded_map
p0029,Gợi ý nhé. Kết quả là 10. Bé tìm số rồi ấn vào nhé.,Gợi ý nhé. Kết quả là mười. Bé tìm số rồi ấn vào nhé.,hint,from_uploaded_html_embedded_map
p0030,Chưa đúng. 1 nhân 10 bằng 10.,Chưa đúng. một nhân mười bằng mười.,wrong,from_uploaded_html_embedded_map
p0031,2 nhân 1 bằng bao nhiêu?,hai nhân một bằng bao nhiêu?,question,from_uploaded_html_embedded_map
p0032,Chưa đúng. 2 nhân 1 bằng 2.,Chưa đúng. hai nhân một bằng hai.,wrong,from_uploaded_html_embedded_map
p0033,2 nhân 2 bằng bao nhiêu?,hai nhân hai bằng bao nhiêu?,question,from_uploaded_html_embedded_map
p0034,Chưa đúng. 2 nhân 2 bằng 4.,Chưa đúng. hai nhân hai bằng bốn.,wrong,from_uploaded_html_embedded_map
p0035,2 nhân 3 bằng bao nhiêu?,hai nhân ba bằng bao nhiêu?,question,from_uploaded_html_embedded_map
p0036,Chưa đúng. 2 nhân 3 bằng 6.,Chưa đúng. hai nhân ba bằng sáu.,wrong,from_uploaded_html_embedded_map
p0037,2 nhân 4 bằng bao nhiêu?,hai nhân bốn bằng bao nhiêu?,question,from_uploaded_html_embedded_map
p0038,Chưa đúng. 2 nhân 4 bằng 8.,Chưa đúng. hai nhân bốn bằng tám.,wrong,from_uploaded_html_embedded_map
p0039,2 nhân 5 bằng bao nhiêu?,hai nhân năm bằng bao nhiêu?,question,from_uploaded_html_embedded_map
p0040,Chưa đúng. 2 nhân 5 bằng 10.,Chưa đúng. hai nhân năm bằng mười.,wrong,from_uploaded_html_embedded_map
p0041,2 nhân 6 bằng bao nhiêu?,hai nhân sáu bằng bao nhiêu?,question,from_uploaded_html_embedded_map
p0042,Gợi ý nhé. Kết quả là 12. Bé tìm số rồi ấn vào nhé.,Gợi ý nhé. Kết quả là mười hai. Bé tìm số rồi ấn vào nhé.,hint,from_uploaded_html_embedded_map
p0043,Chưa đúng. 2 nhân 6 bằng 12.,Chưa đúng. hai nhân sáu bằng mười hai.,wrong,from_uploaded_html_embedded_map
p0044,2 nhân 7 bằng bao nhiêu?,hai nhân bảy bằng bao nhiêu?,question,from_uploaded_html_embedded_map
p0045,Gợi ý nhé. Kết quả là 14. Bé tìm số rồi ấn vào nhé.,Gợi ý nhé. Kết quả là mười bốn. Bé tìm số rồi ấn vào nhé.,hint,from_uploaded_html_embedded_map
p0046,Chưa đúng. 2 nhân 7 bằng 14.,Chưa đúng. hai nhân bảy bằng mười bốn.,wrong,from_uploaded_html_embedded_map
p0047,2 nhân 8 bằng bao nhiêu?,hai nhân tám bằng bao nhiêu?,question,from_uploaded_html_embedded_map
