id,text,speak,group,note
p0001,Giọng AI local,Giọng ây ai cục bộ.,home_ui,home/static
p0002,Bỏ tích: gna.ppsm,"Bỏ tích để dùng gờ en a, chấm, pê pê ét em.",home_ui,home/static
p0003,Vào vườn,Vào vườn học.,home_ui,home/static
p0004,Bấm chữ để nghe đọc.,Bấm chữ để nghe đọc.,home_ui,home/static
p0005,Bé học chữ cái tiếng Việt.,Bé học chữ cái tiếng Việt.,home_ui,home/static
p0006,Đúng rồi.,Đúng rồi.,home_ui,home/static
p0007,"Chưa đúng, bé thử lại nhé.","Chưa đúng, bé thử lại nhé.",home_ui,home/static
p0008,Đọc lại.,Đọc lại.,home_ui,home/static
p0009,Vào vườn học.,Vào vườn học.,home_ui,home/static
p0010,Bài mới.,Bài mới.,home_ui,home/static
p0011,Nghe lại.,Nghe lại.,home_ui,home/static
p0012,Phát triển: tunhienhieuchuyen.,Phát triển: tunhienhieuchuyen.,home_ui,home/static
p0013,Có trên các nền tảng mạng xã hội.,Có trên các nền tảng mạng xã hội.,home_ui,home/static
p0014,Đã xóa điểm và tiến độ trên máy này.,Đã xóa điểm và tiến độ trên máy này.,home_ui,home/static
p0015,Giỏi lắm!,Giỏi lắm!,home_ui,home/static
p0016,Vườn học thông minh,Vườn học thông minh,home_ui,home/static
p0017,Chọn một khu học nhé,Con hãy chọn một khu học nhé.,home_ui,home/static
p0018,"Chào bé, mời bé vào vườn học thông minh.","Chào bé, mời bé vào vườn học thông minh.",home_ui,home/static
p0019,A,Chữ a hoa.,home_letter,standard speech
p0020,A a,Chữ a hoa. Chữ a thường.,home_letter_pair,clear hoa/thuong
p0021,A / a,Chữ a hoa. Chữ a thường.,home_letter_pair,exact feedback slash
p0022,áo,áo.,home_word,word
p0023,A là chữ a,A là chữ a.,home_label,label
p0024,Bé vừa nghe chữ A / a,"Bé vừa nghe chữ a hoa, chữ a thường.",home_feedback,exact app feedback
p0025,Bé vừa nghe chữ A a.,"Bé vừa nghe chữ a hoa, chữ a thường.",home_feedback,seed compatibility
p0026,Từ gợi nhớ: áo. Bấm Đọc lại nếu muốn nghe thêm.,Từ gợi nhớ: áo. Bấm Đọc lại nếu muốn nghe thêm.,home_feedback,word hint
p0027,Ă,Chữ á hoa.,home_letter,standard speech
p0028,Ă ă,Chữ á hoa. Chữ á thường.,home_letter_pair,clear hoa/thuong
p0029,Ă / ă,Chữ á hoa. Chữ á thường.,home_letter_pair,exact feedback slash
p0030,ăn,ăn.,home_word,word
p0031,Ă là chữ á,Ă là chữ á.,home_label,label
p0032,Bé vừa nghe chữ Ă / ă,"Bé vừa nghe chữ á hoa, chữ á thường.",home_feedback,exact app feedback
p0033,Bé vừa nghe chữ Ă ă.,"Bé vừa nghe chữ á hoa, chữ á thường.",home_feedback,seed compatibility
p0034,Từ gợi nhớ: ăn. Bấm Đọc lại nếu muốn nghe thêm.,Từ gợi nhớ: ăn. Bấm Đọc lại nếu muốn nghe thêm.,home_feedback,word hint
p0035,Â,Chữ ớ hoa.,home_letter,standard speech
p0036,Â â,Chữ ớ hoa. Chữ ớ thường.,home_letter_pair,clear hoa/thuong
p0037,Â / â,Chữ ớ hoa. Chữ ớ thường.,home_letter_pair,exact feedback slash
p0038,ấm,ấm.,home_word,word
p0039,Â là chữ ớ,Â là chữ ớ.,home_label,label
p0040,Bé vừa nghe chữ Â / â,"Bé vừa nghe chữ ớ hoa, chữ ớ thường.",home_feedback,exact app feedback
p0041,Bé vừa nghe chữ Â â.,"Bé vừa nghe chữ ớ hoa, chữ ớ thường.",home_feedback,seed compatibility
p0042,Từ gợi nhớ: ấm. Bấm Đọc lại nếu muốn nghe thêm.,Từ gợi nhớ: ấm. Bấm Đọc lại nếu muốn nghe thêm.,home_feedback,word hint
p0043,B,Chữ bờ hoa.,home_letter,standard speech
p0044,B b,Chữ bờ hoa. Chữ bờ thường.,home_letter_pair,clear hoa/thuong
p0045,B / b,Chữ bờ hoa. Chữ bờ thường.,home_letter_pair,exact feedback slash
p0046,bóng,bóng.,home_word,word
p0047,B là chữ bờ,B là chữ bờ.,home_label,label
p0048,Bé vừa nghe chữ B / b,"Bé vừa nghe chữ bờ hoa, chữ bờ thường.",home_feedback,exact app feedback
p0049,Bé vừa nghe chữ B b.,"Bé vừa nghe chữ bờ hoa, chữ bờ thường.",home_feedback,seed compatibility
p0050,Từ gợi nhớ: bóng. Bấm Đọc lại nếu muốn nghe thêm.,Từ gợi nhớ: bóng. Bấm Đọc lại nếu muốn nghe thêm.,home_feedback,word hint
p0051,C,Chữ cờ hoa.,home_letter,standard speech
p0052,C c,Chữ cờ hoa. Chữ cờ thường.,home_letter_pair,clear hoa/thuong
p0053,C / c,Chữ cờ hoa. Chữ cờ thường.,home_letter_pair,exact feedback slash
p0054,cá,cá.,home_word,word
p0055,C là chữ cờ,C là chữ cờ.,home_label,label
p0056,Bé vừa nghe chữ C / c,"Bé vừa nghe chữ cờ hoa, chữ cờ thường.",home_feedback,exact app feedback
p0057,Bé vừa nghe chữ C c.,"Bé vừa nghe chữ cờ hoa, chữ cờ thường.",home_feedback,seed compatibility
p0058,Từ gợi nhớ: cá. Bấm Đọc lại nếu muốn nghe thêm.,Từ gợi nhớ: cá. Bấm Đọc lại nếu muốn nghe thêm.,home_feedback,word hint
p0059,D,Chữ dờ hoa.,home_letter,standard speech
p0060,D d,Chữ dờ hoa. Chữ dờ thường.,home_letter_pair,clear hoa/thuong
p0061,D / d,Chữ dờ hoa. Chữ dờ thường.,home_letter_pair,exact feedback slash
p0062,dê,dê.,home_word,word
p0063,D là chữ dờ,D là chữ dờ.,home_label,label
p0064,Bé vừa nghe chữ D / d,"Bé vừa nghe chữ dờ hoa, chữ dờ thường.",home_feedback,exact app feedback
p0065,Bé vừa nghe chữ D d.,"Bé vừa nghe chữ dờ hoa, chữ dờ thường.",home_feedback,seed compatibility
p0066,Từ gợi nhớ: dê. Bấm Đọc lại nếu muốn nghe thêm.,Từ gợi nhớ: dê. Bấm Đọc lại nếu muốn nghe thêm.,home_feedback,word hint
p0067,Đ,Chữ đờ hoa.,home_letter,standard speech
p0068,Đ đ,Chữ đờ hoa. Chữ đờ thường.,home_letter_pair,clear hoa/thuong
p0069,Đ / đ,Chữ đờ hoa. Chữ đờ thường.,home_letter_pair,exact feedback slash
p0070,đèn,đèn.,home_word,word
p0071,Đ là chữ đờ,Đ là chữ đờ.,home_label,label
p0072,Bé vừa nghe chữ Đ / đ,"Bé vừa nghe chữ đờ hoa, chữ đờ thường.",home_feedback,exact app feedback
p0073,Bé vừa nghe chữ Đ đ.,"Bé vừa nghe chữ đờ hoa, chữ đờ thường.",home_feedback,seed compatibility
p0074,Từ gợi nhớ: đèn. Bấm Đọc lại nếu muốn nghe thêm.,Từ gợi nhớ: đèn. Bấm Đọc lại nếu muốn nghe thêm.,home_feedback,word hint
p0075,E,Chữ e hoa.,home_letter,standard speech
p0076,E e,Chữ e hoa. Chữ e thường.,home_letter_pair,clear hoa/thuong
p0077,E / e,Chữ e hoa. Chữ e thường.,home_letter_pair,exact feedback slash
p0078,em bé,em bé.,home_word,word
p0079,E là chữ e,E là chữ e.,home_label,label
p0080,Bé vừa nghe chữ E / e,"Bé vừa nghe chữ e hoa, chữ e thường.",home_feedback,exact app feedback
p0081,Bé vừa nghe chữ E e.,"Bé vừa nghe chữ e hoa, chữ e thường.",home_feedback,seed compatibility
p0082,Từ gợi nhớ: em bé. Bấm Đọc lại nếu muốn nghe thêm.,Từ gợi nhớ: em bé. Bấm Đọc lại nếu muốn nghe thêm.,home_feedback,word hint
p0083,Ê,Chữ ê hoa.,home_letter,standard speech
p0084,Ê ê,Chữ ê hoa. Chữ ê thường.,home_letter_pair,clear hoa/thuong
p0085,Ê / ê,Chữ ê hoa. Chữ ê thường.,home_letter_pair,exact feedback slash
p0086,ếch,ếch.,home_word,word
p0087,Ê là chữ ê,Ê là chữ ê.,home_label,label
p0088,Bé vừa nghe chữ Ê / ê,"Bé vừa nghe chữ ê hoa, chữ ê thường.",home_feedback,exact app feedback
p0089,Bé vừa nghe chữ Ê ê.,"Bé vừa nghe chữ ê hoa, chữ ê thường.",home_feedback,seed compatibility
p0090,Từ gợi nhớ: ếch. Bấm Đọc lại nếu muốn nghe thêm.,Từ gợi nhớ: ếch. Bấm Đọc lại nếu muốn nghe thêm.,home_feedback,word hint
p0091,G,Chữ gờ hoa.,home_letter,standard speech
p0092,G g,Chữ gờ hoa. Chữ gờ thường.,home_letter_pair,clear hoa/thuong
p0093,G / g,Chữ gờ hoa. Chữ gờ thường.,home_letter_pair,exact feedback slash
p0094,gà,gà.,home_word,word
p0095,G là chữ gờ,G là chữ gờ.,home_label,label
p0096,Bé vừa nghe chữ G / g,"Bé vừa nghe chữ gờ hoa, chữ gờ thường.",home_feedback,exact app feedback
p0097,Bé vừa nghe chữ G g.,"Bé vừa nghe chữ gờ hoa, chữ gờ thường.",home_feedback,seed compatibility
p0098,Từ gợi nhớ: gà. Bấm Đọc lại nếu muốn nghe thêm.,Từ gợi nhớ: gà. Bấm Đọc lại nếu muốn nghe thêm.,home_feedback,word hint
p0099,H,Chữ hờ hoa.,home_letter,standard speech
p0100,H h,Chữ hờ hoa. Chữ hờ thường.,home_letter_pair,clear hoa/thuong
p0101,H / h,Chữ hờ hoa. Chữ hờ thường.,home_letter_pair,exact feedback slash
p0102,hoa,hoa.,home_word,word
p0103,H là chữ hờ,H là chữ hờ.,home_label,label
p0104,Bé vừa nghe chữ H / h,"Bé vừa nghe chữ hờ hoa, chữ hờ thường.",home_feedback,exact app feedback
p0105,Bé vừa nghe chữ H h.,"Bé vừa nghe chữ hờ hoa, chữ hờ thường.",home_feedback,seed compatibility
p0106,Từ gợi nhớ: hoa. Bấm Đọc lại nếu muốn nghe thêm.,Từ gợi nhớ: hoa. Bấm Đọc lại nếu muốn nghe thêm.,home_feedback,word hint
p0107,I,Chữ i hoa.,home_letter,standard speech
p0108,I i,Chữ i hoa. Chữ i thường.,home_letter_pair,clear hoa/thuong
p0109,I / i,Chữ i hoa. Chữ i thường.,home_letter_pair,exact feedback slash
p0110,in,in.,home_word,word
p0111,I là chữ i,I là chữ i.,home_label,label
p0112,Bé vừa nghe chữ I / i,"Bé vừa nghe chữ i hoa, chữ i thường.",home_feedback,exact app feedback
p0113,Bé vừa nghe chữ I i.,"Bé vừa nghe chữ i hoa, chữ i thường.",home_feedback,seed compatibility
p0114,Từ gợi nhớ: in. Bấm Đọc lại nếu muốn nghe thêm.,Từ gợi nhớ: in. Bấm Đọc lại nếu muốn nghe thêm.,home_feedback,word hint
p0115,K,Chữ ca hoa.,home_letter,standard speech
p0116,K k,Chữ ca hoa. Chữ ca thường.,home_letter_pair,clear hoa/thuong
p0117,K / k,Chữ ca hoa. Chữ ca thường.,home_letter_pair,exact feedback slash
p0118,kem,kem.,home_word,word
p0119,K là chữ ca,K là chữ ca.,home_label,label
p0120,Bé vừa nghe chữ K / k,"Bé vừa nghe chữ ca hoa, chữ ca thường.",home_feedback,exact app feedback
p0121,Bé vừa nghe chữ K k.,"Bé vừa nghe chữ ca hoa, chữ ca thường.",home_feedback,seed compatibility
p0122,Từ gợi nhớ: kem. Bấm Đọc lại nếu muốn nghe thêm.,Từ gợi nhớ: kem. Bấm Đọc lại nếu muốn nghe thêm.,home_feedback,word hint
p0123,L,Chữ lờ hoa.,home_letter,standard speech
p0124,L l,Chữ lờ hoa. Chữ lờ thường.,home_letter_pair,clear hoa/thuong
p0125,L / l,Chữ lờ hoa. Chữ lờ thường.,home_letter_pair,exact feedback slash
p0126,lá,lá.,home_word,word
p0127,L là chữ lờ,L là chữ lờ.,home_label,label
p0128,Bé vừa nghe chữ L / l,"Bé vừa nghe chữ lờ hoa, chữ lờ thường.",home_feedback,exact app feedback
p0129,Bé vừa nghe chữ L l.,"Bé vừa nghe chữ lờ hoa, chữ lờ thường.",home_feedback,seed compatibility
p0130,Từ gợi nhớ: lá. Bấm Đọc lại nếu muốn nghe thêm.,Từ gợi nhớ: lá. Bấm Đọc lại nếu muốn nghe thêm.,home_feedback,word hint
p0131,M,Chữ mờ hoa.,home_letter,standard speech
